Datum,Depth_[m],Temp_[C]
18.05.11,10,9.8
18.05.11,20,5.4
18.05.11,30,4.8
18.05.11,40,4.6
22.08.11,0,24.9
22.08.11,5,22.9
22.08.11,10,17.2
22.08.11,20,6.1
22.08.11,30,5
22.08.11,40,4.8
11.10.11,0,17.3
11.10.11,5,17.1
11.10.11,10,17
11.10.11,20,6.6
11.10.11,30,5.2
11.10.11,40,4.9
01.03.12,0,1.6
01.03.12,5,2
01.03.12,10,2
01.03.12,20,2
01.03.12,30,2
01.03.12,40,2.2
09.05.12,0,12.9
09.05.12,5,11.4
09.05.12,10,9.1
09.05.12,20,7.1
09.05.12,30,6.2
09.05.12,40,5.7
16.08.12,0,23.4
16.08.12,5,22.8
16.08.12,10,17.4
16.08.12,20,8.2
16.08.12,30,6.8
16.08.12,40,6.1
17.10.12,0,15.5
17.10.12,5,15
17.10.12,10,15
17.10.12,20,8.2
17.10.12,30,7
17.10.12,40,6.4
20.02.13,0,4
20.02.13,5,4
20.02.13,10,4
20.02.13,20,4
20.02.13,30,4
20.02.13,40,4.2
15.05.13,0,15.1
15.05.13,5,10.5
15.05.13,10,7
15.05.13,20,5.5
15.05.13,30,5.1
15.05.13,40,5.1
21.08.13,0,22.7
21.08.13,5,22.6
21.08.13,10,13.8
21.08.13,20,7.1
21.08.13,30,5.8
21.08.13,40,5.4
17.10.13,0,14.7
17.10.13,5,14.7
17.10.13,10,14.7
17.10.13,20,7.3
17.10.13,30,5.8
17.10.13,40,5.4
19.02.14,0,5.8
19.02.14,5,5.8
19.02.14,10,5.8
19.02.14,20,5.8
19.02.14,30,5.8
19.02.14,40,5.8
14.05.14,0,11
14.05.14,5,11
14.05.14,10,10.8
14.05.14,20,9.9
14.05.14,30,8.6
14.05.14,40,6.9
20.08.14,0,19.4
20.08.14,5,19.4
20.08.14,10,19.3
20.08.14,20,12.8
20.08.14,30,9
20.08.14,40,7.5
16.10.14,0,17.7
16.10.14,5,17.5
16.10.14,10,17.4
16.10.14,20,15.7
16.10.14,30,9.6
16.10.14,40,8
12.02.15,0,3.7
12.02.15,5,3.8
12.02.15,10,3.8
12.02.15,20,3.8
12.02.15,30,3.8
12.02.15,40,3.8
20.05.15,0,15.5
